portName,year,month,count,END
newark,2013,07,168994,1
newark,2013,08,166639,1
newark,2013,09,159536,1
newark,2013,10,179101,1
newark,2013,11,131109,1
newark,2013,12,156204,1
los angeles,2013,01,234743,1
los angeles,2013,02,212890,1
los angeles,2013,03,252870,1
los angeles,2013,04,251824,1
los angeles,2013,05,278490,1
los angeles,2013,06,311664,1
los angeles,2013,07,345276,1
los angeles,2013,08,349298,1
los angeles,2013,09,332917,1
los angeles,2013,10,271975,1
los angeles,2013,11,228873,1
los angeles,2013,12,286414,1
new york,2014,01,345411,1
new york,2014,02,315748,1
new york,2014,03,420018,1
new york,2014,04,563526,1
new york,2014,05,560507,1
new york,2014,06,546262,1
new york,2014,07,627890,1
new york,2014,08,628706,1
new york,2014,09,561774,1
new york,2014,10,581371,1
new york,2014,11,437218,1
new york,2014,12,531422,1
newark,2014,01,107410,1
newark,2014,02,108576,1
newark,2014,03,138588,1
newark,2014,04,190656,1
newark,2014,05,171411,1
newark,2014,06,156352,1
newark,2014,07,178225,1
newark,2014,08,175028,1
newark,2014,09,167685,1
newark,2014,10,187209,1
newark,2014,11,142981,1
newark,2014,12,161687,1
los angeles,2014,01,270022,1
los angeles,2014,02,222829,1
los angeles,2014,03,255161,1
los angeles,2014,04,295612,1
los angeles,2014,05,311941,1
los angeles,2014,06,337773,1
los angeles,2014,07,381994,1
los angeles,2014,08,381686,1
los angeles,2014,09,356139,1
los angeles,2014,10,308139,1
los angeles,2014,11,251821,1
los angeles,2014,12,313282,1
new york,2015,01,345962,1
new york,2015,02,329040,1
new york,2015,03,466950,1
new york,2015,04,563297,1
new york,2015,05,626460,1
new york,2015,06,610819,1
new york,2015,07,727682,1
new york,2015,08,684017,1
new york,2015,09,648840,1
new york,2015,10,670300,1
new york,2015,11,496533,1
new york,2015,12,568190,1
newark,2015,01,107570,1
newark,2015,02,111522,1
newark,2015,03,146421,1
newark,2015,04,152038,1
newark,2015,05,166464,1
newark,2015,06,148440,1
newark,2015,07,171457,1
newark,2015,08,167174,1
newark,2015,09,160845,1
newark,2015,10,168815,1
newark,2015,11,135784,1
newark,2015,12,153450,1
los angeles,2015,01,278327,1
los angeles,2015,02,256752,1
los angeles,2015,03,304704,1
los angeles,2015,04,331138,1
los angeles,2015,05,364186,1
los angeles,2015,06,382201,1
los angeles,2015,07,464819,1
los angeles,2015,08,455274,1
los angeles,2015,09,436969,1
los angeles,2015,10,367969,1
los angeles,2015,11,290042,1
los angeles,2015,12,333163,1
new york,2016,01,372217,1
new york,2016,02,361368,1
new york,2016,03,508969,1
new york,2016,04,550032,1
new york,2016,05,607725,1
new york,2016,06,603739,1
new york,2016,07,711925,1
new york,2016,08,682504,1
new york,2016,09,620518,1
new york,2016,10,644660,1
new york,2016,11,427773,1
new york,2016,12,480142,1
newark,2016,01,106435,1
newark,2016,02,114198,1
newark,2016,03,146172,1
newark,2016,04,147602,1
newark,2016,05,166420,1
newark,2016,06,157590,1
newark,2016,07,180919,1
newark,2016,08,180884,1
newark,2016,09,166933,1
newark,2016,10,181276,1
newark,2016,11,137177,1
newark,2016,12,165567,1
los angeles,2016,01,319167,1
los angeles,2016,02,276995,1
los angeles,2016,03,310074,1
los angeles,2016,04,316270,1
los angeles,2016,05,335816,1
los angeles,2016,06,388728,1
los angeles,2016,07,457301,1
los angeles,2016,08,439211,1
los angeles,2016,09,433155,1
los angeles,2016,10,380244,1
los angeles,2016,11,280081,1
los angeles,2016,12,348304,1
new york,2017,01,374715,1
new york,2017,02,327434,1
new york,2017,03,436732,1
new york,2017,04,610753,1
new york,2017,05,581461,1
new york,2017,06,601761,1
new york,2017,07,676663,1
new york,2017,08,662103,1
new york,2017,09,602459,1
new york,2017,10,637793,1
new york,2017,11,482117,1
new york,2017,12,594037,1
newark,2017,01,112174,1
newark,2017,02,106701,1
newark,2017,03,119909,1
newark,2017,04,171295,1
newark,2017,05,160263,1
newark,2017,06,153490,1
newark,2017,07,174418,1
newark,2017,08,181769,1
newark,2017,09,164457,1
newark,2017,10,179701,1
newark,2017,11,143589,1
newark,2017,12,179409,1
los angeles,2017,01,354518,1
los angeles,2017,02,271619,1
los angeles,2017,03,313566,1
los angeles,2017,04,359418,1
los angeles,2017,05,355819,1
los angeles,2017,06,392844,1
los angeles,2017,07,442936,1
los angeles,2017,08,443307,1
los angeles,2017,09,417120,1
los angeles,2017,10,363596,1
los angeles,2017,11,280611,1
los angeles,2017,12,364432,1
