year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2009,05,1,a,316,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2009,05,1,a,2519,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2009,05,1,a,1156,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2009,05,1,a,1202,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2009,05,1,a,622,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2009,05,1,a,103,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2009,05,1,a,601,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2009,05,1,a,1582,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2009,05,1,a,112,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2009,05,1,a,1181,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2009,05,1,a,4745,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2009,05,1,a,3085,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2009,05,1,a,1620,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2009,05,1,a,7466,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2009,05,1,a,1041,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2009,05,1,a,869,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2009,05,1,a,2946,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2009,05,1,a,8306,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2009,05,1,a,884,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2009,05,1,a,8366,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2009,05,1,a,3385,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2009,05,1,a,1269,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2009,05,1,a,5539,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2009,05,1,a,3544,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2009,05,1,a,4122,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2009,05,1,a,677,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2009,05,1,a,7356,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2009,05,1,a,2770,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2009,05,1,a,6149,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2009,05,1,a,1277,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2009,05,1,a,1360,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2009,05,1,a,1032,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2009,05,1,a,12690,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2009,05,1,a,5064,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,1,a,3463,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,1,a,1605,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2009,05,1,a,3804,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2009,05,1,a,3614,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2009,05,1,a,4068,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2009,05,1,a,2498,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2009,05,1,a,3770,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2009,05,1,a,4880,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2009,05,1,a,4052,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2009,05,1,a,3151,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2009,05,1,a,3054,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2009,05,1,a,27,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2009,05,1,a,804,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2009,05,1,a,1236,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2009,05,1,a,2733,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2009,05,1,a,729,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2009,05,1,a,481,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2009,05,1,a,511,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2009,05,1,a,799,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2009,05,1,a,451,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2009,05,1,a,747,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2009,05,1,a,1286,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2009,05,1,a,758,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2009,05,1,a,1563,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2009,05,1,a,26,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2009,05,1,a,735,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2009,05,1,a,1316,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2009,05,1,a,393,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2009,05,1,a,104,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2009,05,1,a,208,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2009,05,1,a,1661,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2009,05,1,a,368,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2009,05,1,a,1952,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2009,05,1,a,9175,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2009,05,1,a,995,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2009,05,1,a,1093,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2009,05,1,a,195,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2009,05,1,a,184,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2009,05,1,a,413,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2009,05,1,a,1234,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2009,05,1,a,152,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2009,05,1,a,752,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2009,05,1,a,653,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2009,05,1,a,14,102,East River Bridges,br,Manhattan Bridge - North Path,midpoint,,1
2009,05,1,a,97,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2009,05,1,a,328,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2009,05,1,a,345,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2009,05,1,a,354,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2009,05,1,a,162,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2009,05,1,a,151,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2009,05,1,a,72,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2009,05,1,a,272,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2009,05,1,a,99,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2009,05,1,a,83,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2009,05,1,a,37,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2009,05,1,a,33,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2009,05,1,p,3475,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2009,05,1,p,3111,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2009,05,1,p,8374,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2009,05,1,p,2997,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2009,05,1,p,2660,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2009,05,1,p,1271,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2009,05,1,p,7236,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2009,05,1,p,3490,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2009,05,1,p,5730,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2009,05,1,p,2547,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2009,05,1,p,3986,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2009,05,1,p,4674,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2009,05,1,p,1216,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2009,05,1,p,5501,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2009,05,1,p,6106,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2009,05,1,p,4620,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2009,05,1,p,2478,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2009,05,1,p,4225,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2009,05,1,p,880,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2009,05,1,p,1243,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2009,05,1,p,5640,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2009,05,1,p,1499,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2009,05,1,p,11949,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2009,05,1,p,4689,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2009,05,1,p,980,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2009,05,1,p,5538,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2009,05,1,p,5009,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2009,05,1,p,4089,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2009,05,1,p,1689,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2009,05,1,p,248,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2009,05,1,p,3753,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2009,05,1,p,3094,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2009,05,1,p,186,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2009,05,1,p,995,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2009,05,1,p,5954,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2009,05,1,p,7169,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2009,05,1,p,2654,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2009,05,1,p,10866,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2009,05,1,p,1761,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2009,05,1,p,1680,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2009,05,1,p,17128,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2009,05,1,p,21051,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2009,05,1,p,4929,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2009,05,1,p,16730,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2009,05,1,p,20508,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2009,05,1,p,5187,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2009,05,1,p,8901,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2009,05,1,p,7324,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2009,05,1,p,8661,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2009,05,1,p,1726,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2009,05,1,p,29526,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2009,05,1,p,4090,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2009,05,1,p,9608,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2009,05,1,p,8561,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2009,05,1,p,6047,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2009,05,1,p,6680,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2009,05,1,p,21943,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2009,05,1,p,10654,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,1,p,10636,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,1,p,4840,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2009,05,1,p,9823,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2009,05,1,p,7280,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2009,05,1,p,8087,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2009,05,1,p,7990,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2009,05,1,p,25268,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2009,05,1,p,14500,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2009,05,1,p,11765,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2009,05,1,p,8475,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2009,05,1,p,9975,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2009,05,1,p,192,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2009,05,1,p,4812,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2009,05,1,p,4575,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2009,05,1,p,10839,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2009,05,1,p,4351,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2009,05,1,p,1656,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2009,05,1,p,827,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2009,05,1,p,3564,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2009,05,1,p,360,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2009,05,1,p,3443,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2009,05,1,p,9724,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2009,05,1,p,1892,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2009,05,1,p,5406,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2009,05,1,p,105,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2009,05,1,p,1958,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2009,05,1,p,5135,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2009,05,1,p,2719,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2009,05,1,p,511,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2009,05,1,p,1007,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2009,05,1,p,4302,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2009,05,1,p,2527,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2009,05,1,p,2141,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2009,05,1,p,13802,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2009,05,1,p,5290,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2009,05,1,p,2412,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2009,05,1,p,564,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2009,05,1,p,214,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2009,05,1,p,814,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
2009,05,1,p,1981,98,Staten Island,bo,Pedestrian Walkway from Ferry Terminal,50' north of Richmond Terrace,,1
2009,05,1,p,196,99,Staten Island,bo,Richmond Hill Road,400' west of Richmond Terrace,,1
2009,05,1,p,1402,100,Staten Island,bo,Victory Boulevard,Bay Street,Van Duzer Street,1
2009,05,1,p,2670,101,East River Bridges,br,Brooklyn Bridge,midpoint,,1
2009,05,1,p,12,102,East River Bridges,br,Manhattan Bridge - North Path,midpoint,,1
2009,05,1,p,221,103,East River Bridges,br,Manhattan Bridge - South Path,midpoint,,1
2009,05,1,p,539,104,East River Bridges,br,Williamsburg Bridge,midpoint,,1
2009,05,1,p,506,105,East River Bridges,br,Queensboro Bridge,midpoint,,1
2009,05,1,p,584,106,Harlem River Bridges,br,Broadway Bridge,midpoint,,1
2009,05,1,p,455,107,Harlem River Bridges,br,University Heights Bridge,midpoint,,1
2009,05,1,p,183,108,Harlem River Bridges,br,Macombs Dam Bridge,midpoint,,1
2009,05,1,p,157,109,Harlem River Bridges,br,145th Street Bridge,midpoint,,1
2009,05,1,p,331,110,Harlem River Bridges,br,Madison Avenue Bridge,midpoint,,1
2009,05,1,p,153,111,Harlem River Bridges,br,Third Avenue Bridge,midpoint,,1
2009,05,1,p,110,112,Harlem River Bridges,br,Willis Avenue Bridge,midpoint,,1
2009,05,1,p,44,113,Harlem River Bridges,br,Triborough Bridge (Manhattan span),midpoint,,1
2009,05,1,p,213,114,Harlem River Bridges,br,Wards Island Bridge,midpoint,,1
2009,05,0,m,2832,1,Bronx,bo,Broadway,West 231st Street,Naples Terrace,1
2009,05,0,m,1304,2,Bronx,bo,East 161st Street,Grand Concourse,Sheridan Avenue,1
2009,05,0,m,7472,3,Bronx,bo,East Fordham Road,Valentine Avenue,Tiebout Avenue,1
2009,05,0,m,1672,4,Bronx,bo,East Gun Hill Road,Bainbridge Avenue,Rochambeau Avenue,1
2009,05,0,m,2604,5,Bronx,bo,East Tremont Avenue,Prospect Avenue,Clinton Avenue,1
2009,05,0,m,539,6,Bronx,bo,Grand Concourse,East 164th Street,East 165th Street,1
2009,05,0,m,3540,7,Bronx,bo,Third Avenue,East 150th Street,East 151st Street,1
2009,05,0,m,3335,8,Bronx,bo,White Plains Road,Pelham Parkway South,Lydig Avenue,1
2009,05,0,m,4619,9,Brooklyn,bo,5th Avenue,51st Street,52nd Street,1
2009,05,0,m,2259,10,Brooklyn,bo,5th Avenue,Union Street ,President Street,1
2009,05,0,m,2944,11,Brooklyn,bo,7th Avenue ,9th Street,8th Street,1
2009,05,0,m,4406,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2009,05,0,m,865,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2009,05,0,m,4110,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2009,05,0,m,5935,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2009,05,0,m,1971,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2009,05,0,m,1553,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2009,05,0,m,2863,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2009,05,0,m,2408,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2009,05,0,m,1251,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2009,05,0,m,1985,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2009,05,0,m,1378,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2009,05,0,m,6307,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2009,05,0,m,3161,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2009,05,0,m,817,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2009,05,0,m,1383,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2009,05,0,m,3390,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2009,05,0,m,3078,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2009,05,0,m,1135,29,Brooklyn,bo,Myrtle Avenue,Vanderbilt Avenue,Clinton Avenue,1
2009,05,0,m,1178,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2009,05,0,m,1628,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2009,05,0,m,1967,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2009,05,0,m,105,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2009,05,0,m,1264,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2009,05,0,m,1112,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2009,05,0,m,5281,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2009,05,0,m,5207,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2009,05,0,m,1696,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2009,05,0,m,3084,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2009,05,0,m,1378,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2009,05,0,m,7151,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2009,05,0,m,6303,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2009,05,0,m,2506,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
2009,05,0,m,5749,44,Manhattan,bo,Eighth Avenue,West 44th Street,West 45th Street,1
2009,05,0,m,10507,45,Manhattan,bo,Fifth Avenue,East 54th Street,East 55th Street,1
2009,05,0,m,4981,46,Manhattan,bo,Forsyth Street,Canal Street,Division Street,1
2009,05,0,m,2464,47,Manhattan,bo,Fulton Street,Broadway,Nassau Street,1
2009,05,0,m,2992,48,Manhattan,bo,Fulton Street,Cliff Street,Pearl Street,1
2009,05,0,m,5705,49,Manhattan,bo,Lexington Avenue,East 57th Street,East 58th Street,1
2009,05,0,m,2088,50,Manhattan,bo,Madison Avenue,East 71st Street,East 72nd Street,1
2009,05,0,m,12533,51,Manhattan,bo,Seventh Avenue,West 32nd Street,West 33rd Street,1
2009,05,0,m,2393,52,Manhattan,bo,Trinity Place,Rector Street,Thames Street,1
2009,05,0,m,4402,53,Manhattan,bo,Wall Street,New Street,Nassau Street,1
2009,05,0,m,3984,54,Manhattan,bo,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,1
2009,05,0,m,2485,55,Manhattan,bo,West 14th Street,Hudson Street,Eighth Avenue,1
2009,05,0,m,4881,56,Manhattan,bo,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,1
2009,05,0,m,13971,57,Manhattan,bo,West 34th Street,Broadway,Seventh Avenue,1
2009,05,0,m,1664,58,Manhattan,bo,West 40th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,0,m,2119,59,Manhattan,bo,West 47th Street,Avenue of the Americas,Fifth Avenue,1
2009,05,0,m,1933,60,Manhattan,bo,Second Avenue,50th Street,51st Street,1
2009,05,0,m,2537,61,Manhattan,bo,Third Avenue,50th Street,51st Street,1
2009,05,0,m,3131,62,Manhattan,bo,Lexington Avenue,50th Street,51st Street,1
2009,05,0,m,1464,63,Manhattan,bo,Park Avenue,50th Street,51st Street,1
2009,05,0,m,2281,64,Manhattan,bo,Madison Avenue,50th Street,51st Street,1
2009,05,0,m,11494,65,Manhattan,bo,Fifth Avenue,50th Street,51st Street,1
2009,05,0,m,5385,66,Manhattan,bo,Sixth Avenue,50th Street,51st Street,1
2009,05,0,m,5383,67,Manhattan,bo,Seventh Avenue,50th Street,51st Street,1
2009,05,0,m,6386,68,Manhattan,bo,Broadway,50th Street,51st Street,1
2009,05,0,m,4793,69,Manhattan,bo,Eighth Avenue,50th Street,51st Street,1
2009,05,0,m,64,70,Manhattan,bo,Hudson River Greenway,50th Street,51st Street,1
2009,05,0,m,3254,71,Queens,bo,165th Street,89th Avenue,Jamaica Avenue,1
2009,05,0,m,2782,72,Queens,bo,37th Avenue,73rd Street,74th Street,1
2009,05,0,m,6515,73,Queens,bo,82nd Street,37th Avenue,Roosevelt Avenue,1
2009,05,0,m,2420,74,Queens,bo,Austin Street,71st Ave,70th Road,1
2009,05,0,m,785,75,Queens,bo,Bell Boulevard,40th Avenue,41st Avenue,1
2009,05,0,m,447,76,Queens,bo,Fresh Pond Road,Cypress Hills Street,70th Avenue,1
2009,05,0,m,1854,77,Queens,bo,Hillside Avenue,169th Street,170th Street,1
2009,05,0,m,79,78,Queens,bo,Jackson Avenue,Queens Street,42nd Road,1
2009,05,0,m,2598,79,Queens,bo,Jamaica Avenue,148th Street,149th Street,1
2009,05,0,m,4969,80,Queens,bo,Jamaica Avenue,162nd Street,Guy R. Brewer Boulevard,1
2009,05,0,m,1710,81,Queens,bo,Jamaica Avenue,86th Street,87th Street,1
2009,05,0,m,5867,82,Queens,bo,Main Street,37th Avenue,38th Avenue,1
2009,05,0,m,63,83,Queens,bo,Merrick Boulevard,108th Drive,169th Place,1
2009,05,0,m,1850,84,Queens,bo,Mott Avenue,Smith Place,Central Avenue,1
2009,05,0,m,3101,85,Queens,bo,Myrtle Avenue,Palmetto Street,Woodbine Street,1
2009,05,0,m,2404,86,Queens,bo,Myrtle Avenue,Weirfield Street,Centre Street,1
2009,05,0,m,304,87,Queens,bo,Northern Boulevard,50' East of 161st Street,,1
2009,05,0,m,856,88,Queens,bo,Prince Street,37th Avenue,38th Avenue,1
2009,05,0,m,954,89,Queens,bo,Queens Boulevard,50' East of 80th Road,,1
2009,05,0,m,2591,90,Queens,bo,Queens Boulevard,Woodhaven Boulevard,90th Street,1
2009,05,0,m,806,91,Queens,bo,Queens Plaza North & South,Crescent Street,27th Street,1
2009,05,0,m,8087,92,Queens,bo,Roosevelt Avenue,Main Street,Union Street,1
2009,05,0,m,5311,93,Queens,bo,Steinway Street,31st Avenue,Broadway,1
2009,05,0,m,871,94,Queens,bo,Sutphin Boulevard,89th Avenue,90th Avenue,1
2009,05,0,m,344,95,Queens,bo,Yellowstone Boulevard,Queens Boulevard,Gerard Place,1
2009,05,0,m,179,96,Staten Island,bo,Forest Avenue,Regan Avenue,Davis Avenue,1
2009,05,0,m,704,97,Staten Island,bo,New Dorp Lane,Hylan Boulevard,Clawson Street,1
